# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
13.55         	(3.335500e+01 3.315243e-09 0.000000e+00)	1.013477e+05
13.6          	(3.342548e+01 3.823777e-09 0.000000e+00)	1.013477e+05
13.65         	(3.349211e+01 6.957319e-09 0.000000e+00)	1.013477e+05
13.7          	(3.355401e+01 1.165936e-08 0.000000e+00)	1.013477e+05
13.75         	(3.361035e+01 2.734884e-09 0.000000e+00)	1.013477e+05
13.8          	(3.366040e+01 -5.491357e-10 0.000000e+00)	1.013477e+05
13.85         	(3.370350e+01 -7.327328e-09 0.000000e+00)	1.013477e+05
13.9          	(3.373906e+01 9.353167e-09 0.000000e+00)	1.013477e+05
13.95         	(3.376665e+01 9.666756e-09 0.000000e+00)	1.013477e+05
14            	(3.378589e+01 2.347304e-08 0.000000e+00)	1.013477e+05
14.05         	(3.379653e+01 1.845221e-08 0.000000e+00)	1.013477e+05
14.1          	(3.379845e+01 1.070585e-08 0.000000e+00)	1.013477e+05
14.15         	(3.379162e+01 -2.780132e-09 0.000000e+00)	1.013477e+05
14.2          	(3.377615e+01 -1.282329e-08 0.000000e+00)	1.013477e+05
14.25         	(3.375222e+01 -1.381763e-08 0.000000e+00)	1.013477e+05
14.3          	(3.372015e+01 -1.937294e-08 0.000000e+00)	1.013477e+05
14.35         	(3.368035e+01 -3.715593e-08 0.000000e+00)	1.013477e+05
14.4          	(3.363335e+01 -5.442784e-08 0.000000e+00)	1.013477e+05
14.45         	(3.357978e+01 -7.162532e-08 0.000000e+00)	1.013477e+05
14.5          	(3.352033e+01 -8.172893e-08 0.000000e+00)	1.013477e+05
14.55         	(3.345579e+01 -9.180308e-08 0.000000e+00)	1.013477e+05
14.6          	(3.338700e+01 -9.903463e-08 0.000000e+00)	1.013477e+05
14.65         	(3.331490e+01 -1.159894e-07 0.000000e+00)	1.013477e+05
14.7          	(3.324045e+01 -1.289426e-07 0.000000e+00)	1.013477e+05
14.75         	(3.316467e+01 -1.348787e-07 0.000000e+00)	1.013477e+05
14.8          	(3.308857e+01 -1.324400e-07 0.000000e+00)	1.013477e+05
14.85         	(3.301319e+01 -1.304502e-07 0.000000e+00)	1.013477e+05
14.9          	(3.293956e+01 -1.089568e-07 0.000000e+00)	1.013477e+05
14.95         	(3.286871e+01 -1.088521e-07 0.000000e+00)	1.013477e+05
15            	(3.280166e+01 -1.068507e-07 0.000000e+00)	1.013477e+05
15.05         	(3.273933e+01 -9.853238e-08 0.000000e+00)	1.013477e+05
15.1          	(3.268261e+01 -9.601732e-08 0.000000e+00)	1.013477e+05
15.15         	(3.263231e+01 -9.040424e-08 0.000000e+00)	1.013477e+05
15.2          	(3.258914e+01 -8.268447e-08 0.000000e+00)	1.013477e+05
15.25         	(3.255375e+01 -8.090991e-08 0.000000e+00)	1.013477e+05
15.3          	(3.252663e+01 -8.021143e-08 0.000000e+00)	1.013477e+05
15.35         	(3.250818e+01 -6.986929e-08 0.000000e+00)	1.013477e+05
15.4          	(3.249867e+01 -6.254468e-08 0.000000e+00)	1.013477e+05
15.45         	(3.249824e+01 -5.552194e-08 0.000000e+00)	1.013477e+05
15.5          	(3.250689e+01 -4.715396e-08 0.000000e+00)	1.013477e+05
15.55         	(3.252450e+01 -4.638750e-08 0.000000e+00)	1.013477e+05
15.6          	(3.255082e+01 -3.761488e-08 0.000000e+00)	1.013477e+05
15.65         	(3.258547e+01 -3.367869e-08 0.000000e+00)	1.013477e+05
15.7          	(3.262795e+01 -2.798869e-08 0.000000e+00)	1.013477e+05
15.75         	(3.267764e+01 -2.296641e-08 0.000000e+00)	1.013477e+05
15.8          	(3.273384e+01 -1.865731e-08 0.000000e+00)	1.013477e+05
15.85         	(3.279574e+01 -1.506220e-08 0.000000e+00)	1.013477e+05
15.9          	(3.286246e+01 -1.267984e-08 0.000000e+00)	1.013477e+05
15.95         	(3.293307e+01 -7.553424e-09 0.000000e+00)	1.013477e+05
16            	(3.300656e+01 -2.314575e-09 0.000000e+00)	1.013477e+05
16.05         	(3.308193e+01 5.584249e-10 0.000000e+00)	1.013477e+05
16.1          	(3.315811e+01 2.958434e-09 0.000000e+00)	1.013477e+05
16.15         	(3.323408e+01 2.466935e-09 0.000000e+00)	1.013477e+05
16.2          	(3.330878e+01 2.274527e-09 0.000000e+00)	1.013477e+05
16.25         	(3.338121e+01 3.241666e-09 0.000000e+00)	1.013477e+05
16.3          	(3.345039e+01 4.688991e-09 0.000000e+00)	1.013477e+05
16.35         	(3.351538e+01 1.358222e-08 0.000000e+00)	1.013477e+05
16.4          	(3.357533e+01 8.780763e-09 0.000000e+00)	1.013477e+05
16.45         	(3.362945e+01 2.386910e-09 0.000000e+00)	1.013477e+05
16.5          	(3.367703e+01 -4.107225e-09 0.000000e+00)	1.013477e+05
16.55         	(3.371743e+01 5.140202e-09 0.000000e+00)	1.013477e+05
16.6          	(3.375012e+01 1.048625e-08 0.000000e+00)	1.013477e+05
16.65         	(3.377468e+01 1.721908e-08 0.000000e+00)	1.013477e+05
16.7          	(3.379079e+01 2.150922e-08 0.000000e+00)	1.013477e+05
16.75         	(3.379825e+01 1.392388e-08 0.000000e+00)	1.013477e+05
16.8          	(3.379696e+01 4.975424e-09 0.000000e+00)	1.013477e+05
16.85         	(3.378696e+01 -6.550222e-09 0.000000e+00)	1.013477e+05
16.9          	(3.376836e+01 -7.506402e-09 0.000000e+00)	1.013477e+05
16.95         	(3.374140e+01 -1.204334e-08 0.000000e+00)	1.013477e+05
17            	(3.370643e+01 -2.702383e-08 0.000000e+00)	1.013477e+05
17.05         	(3.366394e+01 -4.490097e-08 0.000000e+00)	1.013477e+05
17.1          	(3.361446e+01 -6.140132e-08 0.000000e+00)	1.013477e+05
17.15         	(3.355865e+01 -7.209328e-08 0.000000e+00)	1.013477e+05
17.2          	(3.349723e+01 -8.273381e-08 0.000000e+00)	1.013477e+05
17.25         	(3.343103e+01 -9.203914e-08 0.000000e+00)	1.013477e+05
17.3          	(3.336092e+01 -1.075946e-07 0.000000e+00)	1.013477e+05
17.35         	(3.328785e+01 -1.210838e-07 0.000000e+00)	1.013477e+05
17.4          	(3.321280e+01 -1.422051e-07 0.000000e+00)	1.013477e+05
17.45         	(3.313677e+01 -1.283522e-07 0.000000e+00)	1.013477e+05
17.5          	(3.306081e+01 -1.285084e-07 0.000000e+00)	1.013477e+05
17.55         	(3.298596e+01 -1.093344e-07 0.000000e+00)	1.013477e+05
17.6          	(3.291323e+01 -1.091297e-07 0.000000e+00)	1.013477e+05
17.65         	(3.284366e+01 -1.094134e-07 0.000000e+00)	1.013477e+05
17.7          	(3.277823e+01 -1.056953e-07 0.000000e+00)	1.013477e+05
17.75         	(3.271785e+01 -9.753818e-08 0.000000e+00)	1.013477e+05
17.8          	(3.266339e+01 -9.317867e-08 0.000000e+00)	1.013477e+05
17.85         	(3.261563e+01 -8.650490e-08 0.000000e+00)	1.013477e+05
17.9          	(3.257524e+01 -8.360095e-08 0.000000e+00)	1.013477e+05
17.95         	(3.254283e+01 -8.138975e-08 0.000000e+00)	1.013477e+05
18            	(3.251885e+01 -7.700270e-08 0.000000e+00)	1.013477e+05
18.05         	(3.250365e+01 -6.750156e-08 0.000000e+00)	1.013477e+05
18.1          	(3.249746e+01 -6.065768e-08 0.000000e+00)	1.013477e+05
